"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1615938775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615938776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1615938777,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,1
1615938778,0,0,0,0,0,13,97,75,195,0,0,9,1,13,97,66,194
1615938779,0,0,0,0,0,33,145,115,291,13,97,75,195,20,48,40,96
1615938780,0,0,0,0,0,48,181,145,363,33,145,115,291,15,36,30,72
1615938781,0,0,0,0,0,68,229,185,459,48,181,145,363,20,48,40,96
1615938782,0,0,0,0,0,83,265,215,531,68,229,185,459,15,36,30,72
1615938783,0,0,0,0,0,103,313,255,627,83,265,215,531,20,48,40,96
1615938784,0,0,0,0,0,118,359,292,719,103,313,255,627,15,46,37,92
1615938785,0,0,0,0,0,126,395,332,791,118,359,292,719,8,36,40,72
1615938786,0,0,0,0,0,150,441,382,883,126,395,332,791,24,46,50,92
1615938787,0,0,0,0,0,175,486,432,973,150,441,382,883,25,45,50,90
1615938788,0,0,0,0,0,201,531,484,1063,175,486,432,973,26,45,52,90
1615938789,0,0,0,0,0,226,576,534,1153,201,531,484,1063,25,45,50,90
1615938790,0,0,0,0,0,244,610,572,1221,226,576,534,1153,18,34,38,68
1615938791,0,0,0,0,0,269,655,622,1311,244,610,572,1221,25,45,50,90
1615938792,0,0,0,0,0,295,700,672,1401,269,655,622,1311,26,45,50,90
1615938793,0,0,0,0,0,321,748,724,1497,295,700,672,1401,26,48,52,96
1615938794,0,0,0,0,0,339,782,762,1565,321,748,724,1497,18,34,38,68
1615938795,0,0,0,0,0,365,827,812,1655,339,782,762,1565,26,45,50,90
1615938796,0,0,0,0,0,390,872,864,1745,365,827,812,1655,25,45,52,90
1615938797,0,0,0,0,0,417,919,916,1839,390,872,864,1745,27,47,52,94
1615938798,0,0,0,0,0,442,965,966,1931,417,919,916,1839,25,46,50,92
1615938799,0,0,0,0,0,461,998,1004,1997,442,965,966,1931,19,33,38,66
1615938800,0,0,0,0,0,485,1044,1054,2089,461,998,1004,1997,24,46,50,92
1615938801,0,0,0,0,0,513,1091,1108,2183,485,1044,1054,2089,28,47,54,94
1615938802,0,0,0,0,0,538,1136,1158,2273,513,1091,1108,2183,25,45,50,90
1615938803,0,0,0,0,0,557,1170,1196,2341,538,1136,1158,2273,19,34,38,68
1615938804,0,0,0,0,0,582,1215,1246,2431,557,1170,1196,2341,25,45,50,90
1615938805,0,0,0,0,0,608,1261,1298,2523,582,1215,1246,2431,26,46,52,92
1615938806,0,0,0,0,0,632,1306,1346,2613,608,1261,1298,2523,24,45,48,90
1615938807,0,0,0,0,0,657,1351,1396,2703,632,1306,1346,2613,25,45,50,90
1615938808,0,0,0,0,0,676,1385,1434,2771,657,1351,1396,2703,19,34,38,68
1615938809,0,0,0,0,0,702,1430,1486,2861,676,1385,1434,2771,26,45,52,90
1615938810,0,0,0,0,0,728,1477,1538,2955,702,1430,1486,2861,26,47,52,94
1615938811,0,0,0,0,0,754,1523,1590,3047,728,1477,1538,2955,26,46,52,92
1615938812,0,0,0,0,0,778,1568,1638,3137,754,1523,1590,3047,24,45,48,90
1615938813,0,0,0,0,0,796,1602,1676,3205,778,1568,1638,3137,18,34,38,68
1615938814,0,0,0,0,0,822,1647,1726,3295,796,1602,1676,3205,26,45,50,90
1615938815,0,0,0,0,0,848,1694,1780,3389,822,1647,1726,3295,26,47,54,94
1615938816,0,0,0,0,0,874,1739,1830,3479,848,1694,1780,3389,26,45,50,90
1615938817,0,0,0,0,0,892,1773,1868,3547,874,1739,1830,3479,18,34,38,68
1615938818,0,0,0,0,0,919,1821,1920,3643,892,1773,1868,3547,27,48,52,96
1615938819,0,0,0,0,0,945,1866,1972,3733,919,1821,1920,3643,26,45,52,90
1615938820,0,0,0,0,0,964,1902,2012,3805,945,1866,1972,3733,19,36,40,72
1615938821,0,0,0,0,0,991,1949,2064,3899,964,1902,2012,3805,27,47,52,94
1615938822,0,0,0,0,0,1016,1995,2114,3991,991,1949,2064,3899,25,46,50,92
1615938823,0,0,0,0,0,1036,2031,2154,4063,1016,1995,2114,3991,20,36,40,72
1615938824,0,0,0,0,0,1062,2076,2206,4153,1036,2031,2154,4063,26,45,52,90
1615938825,0,0,0,0,0,1087,2123,2258,4247,1062,2076,2206,4153,25,47,52,94
1615938826,0,0,0,0,0,1113,2168,2308,4337,1087,2123,2258,4247,26,45,50,90
1615938827,0,0,0,0,0,1132,2203,2348,4407,1113,2168,2308,4337,19,35,40,70
1615938828,0,0,0,0,0,1157,2248,2396,4497,1132,2203,2348,4407,25,45,48,90
1615938829,0,0,0,0,0,1182,2293,2446,4587,1157,2248,2396,4497,25,45,50,90
1615938830,0,0,0,0,0,1207,2338,2498,4677,1182,2293,2446,4587,25,45,52,90
1615938831,0,0,0,0,0,1233,2383,2548,4767,1207,2338,2498,4677,26,45,50,90
1615938832,0,0,0,0,0,1257,2428,2598,4857,1233,2383,2548,4767,24,45,50,90
1615938833,0,0,0,0,0,1277,2462,2636,4925,1257,2428,2598,4857,20,34,38,68
1615938834,0,0,0,0,0,1303,2508,2688,5017,1277,2462,2636,4925,26,46,52,92
1615938835,0,0,0,0,0,1328,2553,2738,5107,1303,2508,2688,5017,25,45,50,90
1615938836,0,0,0,0,0,1352,2598,2786,5197,1328,2553,2738,5107,24,45,48,90
1615938837,0,0,0,0,0,1378,2643,2838,5287,1352,2598,2786,5197,26,45,52,90
1615938838,0,0,0,0,0,1397,2679,2878,5359,1378,2643,2838,5287,19,36,40,72
1615938839,0,0,0,0,0,1424,2726,2930,5453,1397,2679,2878,5359,27,47,52,94
1615938840,0,0,0,0,0,1448,2772,2980,5545,1424,2726,2930,5453,24,46,50,92
1615938841,0,0,0,0,0,1474,2817,3030,5635,1448,2772,2980,5545,26,45,50,90
1615938842,0,0,0,0,0,1493,2851,3068,5703,1474,2817,3030,5635,19,34,38,68
1615938843,0,0,0,0,0,1519,2896,3120,5793,1493,2851,3068,5703,26,45,52,90
1615938844,0,0,0,0,0,1543,2941,3170,5883,1519,2896,3120,5793,24,45,50,90
1615938845,0,0,0,0,0,1570,2988,3222,5977,1543,2941,3170,5883,27,47,52,94
1615938846,0,0,0,0,0,1589,3022,3260,6045,1570,2988,3222,5977,19,34,38,68
1615938847,0,0,0,0,0,1616,3070,3314,6141,1589,3022,3260,6045,27,48,54,96
1615938848,0,0,0,0,0,1640,3115,3364,6231,1616,3070,3314,6141,24,45,50,90
1615938849,0,0,0,0,0,1665,3160,3414,6321,1640,3115,3364,6231,25,45,50,90
1615938850,0,0,0,0,0,1684,3194,3452,6389,1665,3160,3414,6321,19,34,38,68
1615938851,0,0,0,0,0,1711,3241,3504,6483,1684,3194,3452,6389,27,47,52,94
1615938852,0,0,0,0,0,1736,3287,3554,6575,1711,3241,3504,6483,25,46,50,92
1615938853,0,0,0,0,0,1754,3323,3594,6647,1736,3287,3554,6575,18,36,40,72
1615938854,0,0,0,0,0,1770,3368,3646,6737,1754,3323,3594,6647,16,45,52,90
1615938855,0,0,0,0,0,1796,3413,3696,6827,1770,3368,3646,6737,26,45,50,90
1615938856,0,0,0,0,0,1821,3458,3746,6917,1796,3413,3696,6827,25,45,50,90
1615938857,0,0,0,0,0,1847,3506,3798,7013,1821,3458,3746,6917,26,48,52,96
1615938858,0,0,0,0,0,1866,3540,3836,7081,1847,3506,3798,7013,19,34,38,68
1615938859,0,0,0,0,0,1892,3587,3890,7175,1866,3540,3836,7081,26,47,54,94
1615938860,0,0,0,0,0,1919,3634,3942,7269,1892,3587,3890,7175,27,47,52,94
1615938861,0,0,0,0,0,1938,3668,3980,7337,1919,3634,3942,7269,19,34,38,68
1615938862,0,0,0,0,0,1964,3714,4032,7429,1938,3668,3980,7337,26,46,52,92
1615938863,0,0,0,0,0,1988,3759,4080,7519,1964,3714,4032,7429,24,45,48,90
1615938864,0,0,0,0,0,2014,3804,4132,7609,1988,3759,4080,7519,26,45,52,90
1615938865,0,0,0,0,0,2038,3849,4182,7699,2014,3804,4132,7609,24,45,50,90
1615938866,0,0,0,0,0,2058,3883,4220,7767,2038,3849,4182,7699,20,34,38,68
1615938867,0,0,0,0,0,2074,3933,4274,7867,2058,3883,4220,7767,16,50,54,100
1615938868,0,0,0,0,0,2094,3969,4314,7939,2074,3933,4274,7867,20,36,40,72
1615938869,0,0,0,0,0,2119,4014,4366,8029,2094,3969,4314,7939,25,45,52,90
1615938870,0,0,0,0,0,2145,4059,4416,8119,2119,4014,4366,8029,26,45,50,90
1615938871,0,0,0,0,0,2170,4104,4466,8209,2145,4059,4416,8119,25,45,50,90
1615938872,0,0,0,0,0,2196,4152,4518,8305,2170,4104,4466,8209,26,48,52,96
1615938873,0,0,0,0,0,2214,4186,4556,8373,2196,4152,4518,8305,18,34,38,68
1615938874,0,0,0,0,0,2240,4231,4606,8463,2214,4186,4556,8373,26,45,50,90
1615938875,0,0,0,0,0,2265,4276,4658,8553,2240,4231,4606,8463,25,45,52,90
1615938876,0,0,0,0,0,2292,4323,4710,8647,2265,4276,4658,8553,27,47,52,94
1615938877,0,0,0,0,0,2311,4357,4748,8715,2292,4323,4710,8647,19,34,38,68
1615938878,0,0,0,0,0,2336,4402,4798,8805,2311,4357,4748,8715,25,45,50,90
1615938879,0,0,0,0,0,2361,4448,4848,8897,2336,4402,4798,8805,25,46,50,92
1615938880,0,0,0,0,0,2387,4495,4902,8991,2361,4448,4848,8897,26,47,54,94
1615938881,0,0,0,0,0,2406,4529,4940,9059,2387,4495,4902,8991,19,34,38,68
1615938882,0,0,0,0,0,2431,4574,4990,9149,2406,4529,4940,9059,25,45,50,90
1615938883,0,0,0,0,0,2456,4619,5040,9239,2431,4574,4990,9149,25,45,50,90
1615938884,0,0,0,0,0,2482,4667,5092,9335,2456,4619,5040,9239,26,48,52,96
1615938885,0,0,0,0,0,2502,4701,5130,9403,2482,4667,5092,9335,20,34,38,68
1615938886,0,0,0,0,0,2528,4748,5184,9497,2502,4701,5130,9403,26,47,54,94
1615938887,0,0,0,0,0,2555,4795,5236,9591,2528,4748,5184,9497,27,47,52,94
1615938888,0,0,0,0,0,2580,4841,5286,9683,2555,4795,5236,9591,25,46,50,92
1615938889,0,0,0,0,0,2599,4874,5324,9749,2580,4841,5286,9683,19,33,38,66
1615938890,0,0,0,0,0,2624,4920,5374,9841,2599,4874,5324,9749,25,46,50,92
1615938891,0,0,0,0,0,2649,4965,5426,9931,2624,4920,5374,9841,25,45,52,90
1615938892,0,0,0,0,0,2676,5012,5478,10025,2649,4965,5426,9931,27,47,52,94
1615938893,0,0,0,0,0,2695,5046,5516,10093,2676,5012,5478,10025,19,34,38,68
1615938894,0,0,0,0,0,2720,5091,5566,10183,2695,5046,5516,10093,25,45,50,90
1615938895,0,0,0,0,0,2745,5136,5616,10273,2720,5091,5566,10183,25,45,50,90
1615938896,0,0,0,0,0,2770,5182,5666,10365,2745,5136,5616,10273,25,46,50,92
1615938897,0,0,0,0,0,2796,5227,5718,10455,2770,5182,5666,10365,26,45,52,90
1615938898,0,0,0,0,0,2814,5261,5754,10523,2796,5227,5718,10455,18,34,36,68
1615938899,0,0,0,0,0,2839,5306,5806,10613,2814,5261,5754,10523,25,45,52,90
1615938900,0,0,0,0,0,2865,5351,5856,10703,2839,5306,5806,10613,26,45,50,90
1615938901,0,0,0,0,0,2890,5396,5906,10793,2865,5351,5856,10703,25,45,50,90
1615938902,0,0,0,0,0,2916,5444,5958,10889,2890,5396,5906,10793,26,48,52,96
1615938903,0,0,0,0,0,2935,5478,5996,10957,2916,5444,5958,10889,19,34,38,68
1615938904,0,0,0,0,0,2960,5523,6046,11047,2935,5478,5996,10957,25,45,50,90
1615938905,0,0,0,0,0,2985,5568,6098,11137,2960,5523,6046,11047,25,45,52,90
1615938906,0,0,0,0,0,3012,5615,6150,11231,2985,5568,6098,11137,27,47,52,94
1615938907,0,0,0,0,0,3031,5649,6188,11299,3012,5615,6150,11231,19,34,38,68
1615938908,0,0,0,0,0,3057,5697,6240,11395,3031,5649,6188,11299,26,48,52,96
1615938909,0,0,0,0,0,3083,5742,6292,11485,3057,5697,6240,11395,26,45,52,90
1615938910,0,0,0,0,0,3102,5778,6332,11557,3083,5742,6292,11485,19,36,40,72
1615938911,0,0,0,0,0,3129,5825,6384,11651,3102,5778,6332,11557,27,47,52,94
1615938912,0,0,0,0,0,3154,5871,6434,11743,3129,5825,6384,11651,25,46,50,92
1615938913,0,0,0,0,0,3179,5916,6484,11833,3154,5871,6434,11743,25,45,50,90
1615938914,0,0,0,0,0,3198,5950,6522,11901,3179,5916,6484,11833,19,34,38,68
1615938915,0,0,0,0,0,3223,5995,6572,11991,3198,5950,6522,11901,25,45,50,90
1615938916,0,0,0,0,0,3248,6040,6624,12081,3223,5995,6572,11991,25,45,52,90
1615938917,0,0,0,0,0,3273,6085,6674,12171,3248,6040,6624,12081,25,45,50,90
1615938918,0,0,0,0,0,3299,6130,6724,12261,3273,6085,6674,12171,26,45,50,90
1615938919,0,0,0,0,0,3324,6175,6774,12351,3299,6130,6724,12261,25,45,50,90
1615938920,0,0,0,0,0,3344,6210,6814,12421,3324,6175,6774,12351,20,35,40,70
1615938921,0,0,0,0,0,3368,6255,6862,12511,3344,6210,6814,12421,24,45,48,90
1615938922,0,0,0,0,0,3393,6300,6912,12601,3368,6255,6862,12511,25,45,50,90
1615938923,0,0,0,0,0,3418,6345,6964,12691,3393,6300,6912,12601,25,45,52,90
1615938924,0,0,0,0,0,3444,6390,7014,12781,3418,6345,6964,12691,26,45,50,90
1615938925,0,0,0,0,0,3462,6424,7052,12849,3444,6390,7014,12781,18,34,38,68
1615938926,0,0,0,0,0,3487,6469,7102,12939,3462,6424,7052,12849,25,45,50,90
1615938927,0,0,0,0,0,3513,6514,7152,13029,3487,6469,7102,12939,26,45,50,90
1615938928,0,0,0,0,0,3538,6559,7202,13119,3513,6514,7152,13029,25,45,50,90
1615938929,0,0,0,0,0,3558,6596,7242,13193,3538,6559,7202,13119,20,37,40,74
1615938930,0,0,0,0,0,3584,6641,7294,13283,3558,6596,7242,13193,26,45,52,90
1615938931,0,0,0,0,0,3609,6686,7344,13373,3584,6641,7294,13283,25,45,50,90
1615938932,0,0,0,0,0,3634,6731,7394,13463,3609,6686,7344,13373,25,45,50,90
1615938933,0,0,0,0,0,3660,6777,7446,13555,3634,6731,7394,13463,26,46,52,92
1615938934,0,0,0,0,0,3684,6821,7494,13643,3660,6777,7446,13555,24,44,48,88
1615938935,0,0,0,0,0,3703,6855,7532,13711,3684,6821,7494,13643,19,34,38,68
1615938936,0,0,0,0,0,3728,6901,7582,13803,3703,6855,7532,13711,25,46,50,92
1615938937,0,0,0,0,0,3754,6948,7636,13897,3728,6901,7582,13803,26,47,54,94
1615938938,0,0,0,0,0,3779,6993,7686,13987,3754,6948,7636,13897,25,45,50,90
1615938939,0,0,0,0,0,3799,7027,7724,14055,3779,6993,7686,13987,20,34,38,68
1615938940,0,0,0,0,0,3824,7072,7774,14145,3799,7027,7724,14055,25,45,50,90
1615938941,0,0,0,0,0,3849,7117,7824,14235,3824,7072,7774,14145,25,45,50,90
1615938942,0,0,0,0,0,3874,7163,7874,14327,3849,7117,7824,14235,25,46,50,92
1615938943,0,0,0,0,0,3899,7208,7924,14417,3874,7163,7874,14327,25,45,50,90
1615938944,0,0,0,0,0,3918,7242,7962,14485,3899,7208,7924,14417,19,34,38,68
1615938945,0,0,0,0,0,3944,7287,8014,14575,3918,7242,7962,14485,26,45,52,90
1615938946,0,0,0,0,0,3968,7332,8064,14665,3944,7287,8014,14575,24,45,50,90
1615938947,0,0,0,0,0,3994,7377,8114,14755,3968,7332,8064,14665,26,45,50,90
1615938948,0,0,0,0,0,4020,7423,8166,14847,3994,7377,8114,14755,26,46,52,92
1615938949,0,0,0,0,0,4044,7468,8214,14937,4020,7423,8166,14847,24,45,48,90
1615938950,0,0,0,0,0,4064,7502,8254,15005,4044,7468,8214,14937,20,34,40,68
1615938951,0,0,0,0,0,4088,7547,8302,15095,4064,7502,8254,15005,24,45,48,90
1615938952,0,0,0,0,0,4114,7594,8356,15189,4088,7547,8302,15095,26,47,54,94
1615938953,0,0,0,0,0,4140,7639,8406,15279,4114,7594,8356,15189,26,45,50,90
1615938954,0,0,0,0,0,4159,7673,8444,15347,4140,7639,8406,15279,19,34,38,68
1615938955,0,0,0,0,0,4183,7718,8494,15437,4159,7673,8444,15347,24,45,50,90
1615938956,0,0,0,0,0,4210,7764,8546,15529,4183,7718,8494,15437,27,46,52,92
1615938957,0,0,0,0,0,4233,7809,8594,15619,4210,7764,8546,15529,23,45,48,90
1615938958,0,0,0,0,0,4259,7854,8644,15709,4233,7809,8594,15619,26,45,50,90
1615938959,0,0,0,0,0,4278,7888,8682,15777,4259,7854,8644,15709,19,34,38,68
1615938960,0,0,0,0,0,4304,7933,8734,15867,4278,7888,8682,15777,26,45,52,90
