timestamp,switchID_t3, ingress_port3, egress_port3, egress_spec3, ingress_global_timestamp3, egress_global_timestamp3, enq_timestamp3, enq_qdepth3, deq_timedelta3, deq_qdepth3,switchID_t2, ingress_port2, egress_port2, egress_spec2, ingress_global_timestamp2, egress_global_timestamp2, enq_timestamp2, enq_qdepth2, deq_timedelta2, deq_qdepth2,switchID_t1, ingress_port1, egress_port1, egress_spec1, ingress_global_timestamp1, egress_global_timestamp1, enq_timestamp1, enq_qdepth1, deq_timedelta1, deq_qdepth1
1615938571,3,0,2,0,118214604834,118214605033,2250487882,0,169,0,2,0,1,0,118291963646,118291963855,2327846761,0,106,0,1,0,1,0,118400710515,118400710611,2436593589,0,33,0
1615938572,3,0,2,0,118215771626,118215772087,2251654867,0,230,0,2,0,1,0,118293129925,118293130364,2329013296,0,81,0,1,0,1,0,118401876315,118401876451,2437759426,0,36,0
1615938573,3,0,2,0,118216864278,118216864390,2252747361,0,39,0,2,0,1,0,118294223061,118294223220,2330106171,0,59,0,1,0,1,0,118402970057,118402970154,2438853141,0,23,0
1615938574,3,0,2,0,118217899359,118217899675,2253782501,0,183,0,2,0,1,0,118295257284,118295257477,2331140448,3,38,0,1,0,1,0,118404004093,118404004219,2439887163,0,66,0
1615938576,3,0,2,0,118218941209,118218941620,2254824438,0,209,0,2,0,1,0,118296299630,118296299911,2332182876,0,46,0,1,0,1,0,118405046047,118405046315,2440929237,0,90,0
1615938577,3,0,2,0,118219984597,118219984937,2255867803,0,147,0,2,0,1,0,118297343180,118297343474,2333226445,0,39,0,1,0,1,0,118406089602,118406089776,2441972741,0,45,0
1615938578,3,0,2,0,118221032647,118221032783,2256915732,0,62,0,2,0,1,0,118298391336,118298391658,2334274535,0,136,0,1,0,1,0,118407137916,118407138102,2443021069,0,44,0
1615938579,3,0,2,0,118222102273,118222102598,2257985480,0,130,0,2,0,1,0,118299460968,118299461266,2335344118,0,160,0,1,0,1,0,118408207669,118408207919,2444090894,0,35,0
1615938580,3,0,2,0,118223154755,118223155111,2259037997,0,127,0,2,0,1,0,118300513334,118300513561,2336396528,0,44,0,1,0,1,0,118409259845,118409260122,2445143078,0,56,0
1615938581,3,0,2,0,118224201184,118224201516,2260084345,0,184,0,2,0,1,0,118301559769,118301559999,2337442958,0,52,0,1,0,1,0,118410306119,118410306323,2446189290,0,44,0
