timestamp, rtt_avg
1615938570,6.18
1615938571,5.8
1615938571,5.84
1615938572,3.74
1615938572,3.05
1615938573,3.48
1615938573,4.82
1615938574,6.35
1615938574,5.53
1615938575,3.26
1615938575,6.31
1615938576,3.49
1615938576,4.68
1615938577,6.62
1615938577,6.77
1615938578,3.26
1615938578,5.43
1615938579,4.42
1615938579,5.11
1615938580,5.58
1615938580,3.66
1615938581,3.84
1615938581,3.53
1615938582,3.67
1615938582,3.1
1615938583,5.5
1615938583,5.35
1615938584,4.18
1615938584,5.63
1615938585,4.37
1615938585,5.08
1615938586,7.51
1615938586,3.91
1615938587,7.31
1615938588,10.93
1615938588,4.12
1615938589,3.75
1615938589,6.61
1615938590,6.05
1615938590,5.77
1615938591,6.85
1615938591,4.74
1615938592,3.45
1615938593,5.0
1615938593,10.73
1615938594,9.12
1615938594,7.22
1615938595,10.17
1615938595,14.86
1615938596,10.41
1615938597,121.65
1615938598,506.56
1615938598,10.01
1615938599,14.38
1615938599,7.7
1615938600,95.3
1615938600,8.17
1615938601,11.48
1615938601,8.59
1615938602,11.25
1615938603,10.61
1615938603,11.88
1615938604,9.03
1615938604,8.94
1615938605,86.58
1615938605,10.25
1615938606,9.62
1615938606,11.38
1615938607,12.67
1615938607,11.5
1615938608,10.93
1615938608,8.34
1615938609,7.67
1615938609,6.19
1615938610,4.47
1615938611,54.2
1615938611,10.23
1615938612,6.08
1615938612,3.83
1615938613,8.18
1615938613,4.63
1615938614,11.42
1615938614,14.79
1615938615,13.62
1615938615,7.79
1615938616,6.2
1615938616,5.5
1615938617,10.0
1615938617,6.4
1615938618,8.76
1615938618,2.84
1615938619,11.7
1615938619,9.51
1615938620,7.92
1615938620,3.56
1615938621,3.31
1615938621,3.45
1615938622,13.19
1615938622,4.26
1615938623,9.43
1615938624,5.97
1615938624,5.31
1615938625,5.5
1615938625,3.44
1615938626,6.57
1615938626,8.15
1615938627,4.19
1615938627,10.87
1615938628,6.6
1615938628,2.81
1615938629,7.52
1615938629,4.94
1615938630,5.88
1615938630,4.51
1615938631,7.27
1615938631,4.69
1615938632,5.99
1615938632,3.93
1615938633,3.74
1615938634,13.96
1615938635,4.99
1615938636,504.52
1615938637,4.94
1615938638,508.63
1615938638,10.58
1615938639,10.11
1615938639,14.81
1615938640,9.49
1615938640,11.74
1615938641,5.27
1615938641,7.66
1615938642,6.03
1615938642,9.29
1615938643,14.23
1615938644,10.33
1615938645,506.71
1615938645,3.13
1615938646,9.91
1615938646,16.27
1615938647,14.07
1615938647,11.31
1615938648,11.61
1615938648,5.94
1615938649,2.77
1615938649,5.0
1615938650,3.55
1615938651,6.38
1615938652,502.61
1615938652,3.73
1615938653,3.38
1615938653,3.54
1615938654,8.84
1615938654,3.32
1615938655,7.21
1615938656,5.58
1615938656,6.58
1615938657,3.94
1615938657,2.96
1615938658,3.01
1615938658,6.93
1615938659,3.22
1615938659,12.22
1615938660,11.29
1615938660,4.77
1615938661,4.28
1615938661,4.09
1615938662,8.32
1615938663,7.67
1615938664,8.5
1615938664,523.15
1615938665,4.14
1615938665,5.4
1615938666,9.37
1615938666,8.7
1615938667,9.99
1615938667,5.55
1615938668,12.48
1615938668,4.8
1615938669,5.57
1615938669,9.93
1615938670,9.3
1615938671,5.11
1615938672,9.88
1615938673,4.42
1615938673,506.63
1615938674,9.41
1615938675,8.08
1615938676,508.42
1615938676,8.65
1615938677,5.95
1615938677,3.81
1615938678,6.35
1615938678,8.08
1615938679,6.7
1615938679,5.51
1615938680,6.69
1615938680,6.27
1615938681,3.78
1615938681,3.63
1615938682,10.77
1615938682,9.28
1615938683,6.49
1615938683,7.02
1615938684,8.84
1615938684,8.43
1615938685,3.07
1615938685,9.47
1615938686,7.25
1615938686,6.71
1615938687,11.67
1615938688,11.04
1615938688,9.61
1615938689,7.33
1615938689,4.09
1615938690,13.07
1615938690,17.89
1615938691,14.55
1615938693,508.38
1615938694,13.15
1615938694,512.29
1615938695,13.91
1615938695,9.97
1615938696,13.43
1615938696,12.69
1615938697,8.96
1615938697,10.71
1615938698,14.27
1615938698,14.2
1615938699,22.08
1615938700,14.9
1615938700,13.46
1615938701,13.42
1615938702,132.31
1615938702,17.87
1615938703,11.05
1615938703,10.12
1615938704,13.64
1615938705,10.81
1615938706,509.35
1615938706,17.63
1615938707,13.8
1615938707,16.37
1615938710,517.87
1615938710,579.6
1615938711,15.68
1615938711,18.05
1615938712,17.77
1615938713,12.31
1615938714,513.32
1615938715,17.29
1615938716,511.57
1615938716,15.89
1615938717,14.61
1615938717,13.62
1615938718,11.44
1615938718,13.01
1615938720,12.13
1615938720,13.79
1615938721,14.36
1615938721,17.45
1615938722,12.11
1615938722,19.22
1615938723,11.56
1615938724,12.09
1615938725,508.5
1615938725,11.05
1615938726,9.5
1615938726,7.63
1615938729,507.5
1615938729,507.68
1615938730,19.99
1615938730,17.06
1615938731,13.13
1615938731,16.4
1615938732,12.02
1615938732,12.78
1615938733,13.63
1615938733,8.58
1615938734,10.62
1615938734,17.83
1615938735,8.19
1615938735,9.9
1615938736,8.23
1615938736,9.96
1615938737,6.18
1615938737,7.41
1615938738,11.79
1615938738,14.31
1615938739,7.79
1615938739,15.07
1615938740,12.2
1615938741,5.9
1615938741,7.33
1615938742,12.29
1615938742,8.01
1615938743,9.49
1615938743,18.32
1615938744,4.05
1615938746,14.04
1615938746,507.2
1615938747,16.29
1615938748,17.46
1615938749,510.55
1615938749,14.86
1615938750,12.57
1615938750,14.03
1615938751,11.09
1615938753,509.77
1615938754,10.29
1615938754,509.35
1615938755,12.93
1615938756,13.77
1615938757,10.81
1615938757,506.67
1615938758,7.07
1615938758,15.53
1615938759,12.57
1615938761,506.86
1615938762,6.86
1615938762,506.8
1615938763,7.37
1615938763,5.9
1615938764,8.24
1615938764,10.36
1615938765,7.21
1615938765,7.38
1615938766,7.2
1615938766,7.52
1615938767,5.32
1615938768,6.79
1615938769,5.44
